Release 13.2 - par O.61xd (nt)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Thu May 02 15:15:00 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       IP_watermarking_rijandal_map.ncd
OUTPUT FILE:      IP_watermarking_rijandal_pad.txt
PART TYPE:        xc6vlx75tl
SPEED GRADE:      -1l
PACKAGE:          ff784

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|AD4       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AD5       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AD6       |                     |         |VFS_0                     |         |           |              |          |         |           |         |         |          |           |                |
|AD7       |watermark_output<108>|IOB      |IO_L10P_MRCC_35           |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD8       |watermark_output<91> |IOB      |IO_L3N_SM1N_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD9       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AD10      |watermark_output<95> |IOB      |IO_L5N_SM2N_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD11      |watermark_output<98> |IOB      |IO_L7P_SM4P_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD12      |DONE                 |IOB      |IO_L0N_GC_34              |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD13      |                     |IOBM     |IO_L6P_A07_D23_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AD14      |                     |         |VCCO_34                   |         |           |34            |          |         |           |         |2.50     |          |           |                |
|AD15      |                     |IOBM     |IO_L11P_SRCC_34           |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AD16      |                     |IOBM     |IO_L15P_A23_34            |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AD17      |                     |IOBS     |IO_L12N_A02_D18_34        |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AD18      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AD19      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AD20      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AD21      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AD22      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AD23      |output_dev<32>       |IOB      |IO_L18N_24                |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AD24      |                     |         |VCCO_24                   |         |           |24            |          |         |           |         |2.50     |          |           |                |
|AD25      |output_dev<10>       |IOB      |IO_L7N_D4_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AD26      |output_dev<20>       |IOB      |IO_L12N_D2_FS2_24         |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AD27      |watermark_output<126>|IOB      |IO_L1N_GC_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD28      |watermark_output<125>|IOB      |IO_L1P_GC_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE1       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AE2       |                     |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|AE3       |                     |IPAD     |MGTRXP2_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AE4       |                     |IPAD     |MGTRXN2_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AE5       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AE6       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AE7       |watermark_output<115>|IOB      |IO_L10N_MRCC_35           |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE8       |watermark_output<105>|IOB      |IO_L12N_SM5N_35           |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE9       |watermark_output<112>|IOB      |IO_L14P_35                |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE10      |watermark_output<120>|IOB      |IO_L18N_GC_35             |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE11      |                     |         |VCCO_35                   |         |           |35            |          |         |           |         |2.50     |          |           |                |
|AE12      |watermark_output<110>|IOB      |IO_L15N_SM7N_35           |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE13      |watermark_output<123>|IOB      |IO_L0P_GC_34              |OUTPUT   |LVCMOS25*  |34            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AE14      |                     |IOBS     |IO_L6N_A06_D22_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AE15      |                     |IOBS     |IO_L15N_A22_34            |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AE16      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AE17      |                     |IOBM     |IO_L12P_A03_D19_34        |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AE18      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AE19      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AE20      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AE21      |                     |         |VCCO_23                   |         |           |23            |          |         |           |         |any******|          |           |                |
|AE22      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AE23      |output_dev<31>       |IOB      |IO_L18P_24                |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AE24      |output_dev<23>       |IOB      |IO_L14P_FCS_B_24          |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AE25      |output_dev<15>       |IOB      |IO_L10P_MRCC_24           |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AE26      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
